"state","fips","county","latitude","longitude","I0","R0","A0","S0"
"AL",1001,"Autauga",32.536382,-86.64449,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1003,"Baldwin",30.659218,-87.746067,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1005,"Barbour",31.87067,-85.405456,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1007,"Bibb",33.015893,-87.127148,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1009,"Blount",33.977448,-86.567246,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1011,"Bullock",32.101759,-85.717261,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1013,"Butler",31.751667,-86.681969,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1015,"Calhoun",33.771706,-85.822513,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1017,"Chambers",32.917943,-85.391812,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1019,"Cherokee",34.069515,-85.654242,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1021,"Chilton",32.85406,-86.726628,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1023,"Choctaw",31.991008,-88.248887,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1025,"Clarke",31.685521,-87.818624,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1027,"Clay",33.267809,-85.862051,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1029,"Cleburne",33.671981,-85.516109,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1031,"Coffee",31.402183,-85.989201,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1033,"Colbert",34.703112,-87.801457,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1035,"Conecuh",31.428293,-86.992029,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1037,"Coosa",32.931445,-86.243482,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1039,"Covington",31.243987,-86.448721,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1041,"Crenshaw",31.732826,-86.319222,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1043,"Cullman",34.131923,-86.869267,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1045,"Dale",31.430654,-85.609476,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1047,"Dallas",32.33354,-87.114356,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1049,"DeKalb",34.460929,-85.803992,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1051,"Elmore",32.597229,-86.142739,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1053,"Escambia",31.121748,-87.168429,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1055,"Etowah",34.047638,-86.03442,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1057,"Fayette",33.732249,-87.752049,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1059,"Franklin",34.441988,-87.842815,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1061,"Geneva",31.090866,-85.824346,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1063,"Greene",32.844497,-87.964201,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1065,"Hale",32.752796,-87.623061,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1067,"Henry",31.516978,-85.239971,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1069,"Houston",31.158193,-85.296398,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1071,"Jackson",34.763522,-85.9774,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1073,"Jefferson",33.553444,-86.896536,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1075,"Lamar",33.787085,-88.087431,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1077,"Lauderdale",34.904122,-87.650997,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1079,"Lawrence",34.529776,-87.321865,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1081,"Lee",32.604064,-85.353048,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1083,"Limestone",34.810239,-86.9814,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1085,"Lowndes",32.147888,-86.650586,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1087,"Macon",32.387027,-85.692887,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1089,"Madison",34.764238,-86.55108,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1091,"Marengo",32.247591,-87.791091,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
"AL",1093,"Marion",34.138219,-87.881551,0.00333629010538284,0.000588270181934671,0.152560360561288,0.843344358073834
